,Site,Date,Random,Random_m,Length_m,Width_m,Depth_m,Nr_Chinook,Nr_Steelhead,
Pool 1,Stormy A,8/1/2022,R,30R,5,3,0.79,0,0,
Pool 2,Stormy A,8/1/2022,R,22R,5,3,1,0,0,
Pool 3,Stormy A,8/1/2022,R,65R,5,3,0.5,0,0,
Pool 4,Stormy A,8/1/2022,R,37L,5,3,0.53,0,0,
Pool 5,Stormy A,8/1/2022,R,51L,5,3,0.54,0,0,
Pool 6,Stormy A,8/1/2022,R,52R,5,3,0.48,0,0,
Pool 7,Stormy A,8/1/2022,R,64R,5,3,0.3,0,0,
Pool 8,Stormy A,8/1/2022,R,44L,5,3,0.175,0,0,
Pool 9,Stormy A,8/1/2022,R,73L,5,3,0.2,0,0,
Pool 10,Stormy A,8/1/2022,R,25R,5,3,0.38,0,0,
Pool 11,Stormy A,8/1/2022,R,72L,5,3,0.5,0,0,
Pool 12,Stormy A,8/1/2022,R,67L,5,3,0.47,0,0,
Pool 13,Stormy A,8/1/2022,R,54R,5,3,0.09,0,0,
Pool 14,Stormy A,8/1/2022,R,75L,5,3,0.87,0,0,
Pool 15,Stormy A,8/1/2022,R,33L,5,3,0.85,0,0,
Pool 1,Stormy A,8/1/2022,L,ELJ,12.7,7,0.3,10,2,
Pool 2,Stormy A,8/1/2022,L,ELJ,9.5,4.5,0.61,49,0,
Pool 3,Stormy A,8/1/2022,L,ELJ,5.5,4.5,0.295,7,0,
Pool 4 L,Stormy A,8/1/2022,L,ELJ,14.5,4.5,0.58,18,8,
Pool 4 R,Stormy A,8/1/2022,L,ELJ,14.5,2.0,1.1,27,5,
Pool 5,Stormy A,8/1/2022,L,ELJ,22.5,7.5,0.67,33,0,
Pool 6,Stormy A,8/1/2022,L,ELJ,14,8.5,0.88,21,0,
Pool 1,Stormy B,8/1/2022,R,37L,5,3,2,0,0,
Pool 2,Stormy B,8/1/2022,R,20L,5,3,1,0,0,
Pool 3,Stormy B,8/1/2022,R,61R,5,3,0.31,0,0,
Pool 4,Stormy B,8/1/2022,R,75R,5,3,0.57,1,0,
Pool 5,Stormy B,8/1/2022,R,40R,5,3,0.87,0,0,
Pool 6,Stormy B,8/1/2022,R,24L,5,3,0.52,0,0,
Pool 7,Stormy B,8/1/2022,R,69R,5,3,0.53,0,0,
Pool 8,Stormy B,8/1/2022,R,22L,5,3,0.3,0,0,
Pool 9,Stormy B,8/1/2022,R,39L,5,3,0.31,0,0,
Pool 10,Stormy B,8/1/2022,R,42R,15,12,0.63,12,0,
Pool 11,Stormy B,8/1/2022,R,65L,5,3,0.45,0,0,
Pool 12,Stormy B,8/1/2022,R,29R,5,3,0.41,0,0,
Pool 13,Stormy B,8/1/2022,R,41R,5,3,0.35,0,0,
Pool 14,Stormy B,8/1/2022,R,30L,5,3,0.58,12,8,
Pool 15,Stormy B,8/1/2022,R,68R,5,3,0.64,0,0,
Pool 1,Stormy B,8/1/2022,U,ELJ,18,3,,0,0,
Pool 2,Stormy B,8/1/2022,L,ELJ,99.5,16,1.5,194,3,
Pool 3,Stormy B,8/1/2022,L,ELJ,12,8.5,0.61,11,0,
Pool 4,Stormy B,8/1/2022,L,ELJ,15,12,0.63,12,0,
Pool 5,Stormy B,8/2/2022,L,ELJ,15.5,8.5,0.85,4,5,
Pool 6,Stormy B,8/2/2022,L,ELJ,14,7.5,1.2,2,4,
Pool 7,Stormy B,8/2/2022,L,ELJ,17.5,7.5,0.72,9,1,
Pool 8,Stormy B,8/2/2022,L,ELJ,16,14.5,0.63,44,3,
Pool 9,Stormy B,8/2/2022,L,ELJ,15.5,13,0.48,28,18,
Pool 10,Stormy B,8/2/2022,L,ELJ,15.5,15.5,0.56,52,0,
Pool 11,Stormy B,8/2/2022,L,ELJ,16,12.5,0.36,1,1,
Pool 12,Stormy B,8/2/2022,L,ELJ,14.5,8.5,0.47,6,0,
Pool 13,Stormy B,8/2/2022,L,ELJ,23.5,8.5,3,62,0,
Pool 1,Stormy C,8/2/2022,R,46R,5,3,0.35,0,1,
Pool 2,Stormy C,8/2/2022,R,73R,5,3,0.8,11,0,
Pool 3,Stormy C,8/2/2022,R,54L,5,3,0.35,0,0,
Pool 4,Stormy C,8/2/2022,R,38L,5,3,0.45,0,2,
Pool 5,Stormy C,8/2/2022,R,58L,5,3,0.2,0,0,
Pool 6,Stormy C,8/2/2022,R,40R,5,3,1,5,0,
Pool 7,Stormy C,8/2/2022,R,61R,5,3,0.96,2,0,
Pool 8,Stormy C,8/2/2022,R,56L,5,3,0.55,0,0,
Pool 9,Stormy C,8/2/2022,R,34L,5,3,1.3,0,0,
Pool 10,Stormy C,8/2/2022,R,26R,5,3,0.47,0,0,
Pool 11,Stormy C,8/2/2022,R,42L,5,3,0.86,0,0,
Pool 12,Stormy C,8/2/2022,R,69L,5,3,1.1,0,0,
Pool 13,Stormy C,8/2/2022,R,25R,5,3,0.47,0,0,
Pool 14,Stormy C,8/2/2022,R,43R,5,3,0.63,0,1,
Pool 15,Stormy C,8/2/2022,R,51L,5,3,0.36,0,0,
Pool 1,Stormy C,8/2/2022,L,ELJ,13,1,0.88,0,0,
Pool 2,Stormy C,8/2/2022,L,ELJ,12.5,3,0.91,8,0,
Pool 3,Stormy C,8/2/2022,L,ELJ,19.5,2,1.85,1,0,
Pool 4,Stormy C,8/2/2022,L,ELJ,15,10.5,0.57,11,3,
Pool 5,Stormy C,8/2/2022,L,ELJ,16,12,0.79,3,0,
Pool 6,Stormy C,8/2/2022,L,ELJ,11.5,5,1.2,12,0,
Pool 7,Stormy C,8/2/2022,L,ELJ,22,3.5,1.8,41,0,
Pool 8,Stormy C,8/2/2022,L,ELJ,17,13,0.79,4,1,
Pool 9,Stormy C,8/2/2022,L,ELJ,21,19,0.71,21,7,
Pool 10,Stormy C,8/2/2022,L,ELJ,9.5,9,0.62,12,0,
Pool 11,Stormy C,8/2/2022,L,ELJ,22,8,1,32,13,
Pool 12,Stormy C,8/2/2022,L,ELJ,14,14,0.59,30,3,
Pool 13,Stormy C,8/2/2022,L,ELJ,25,11,0.27,21,4,
Pool 14,Stormy C,8/2/2022,L,ELJ,14.5,2,0.85,0,0,
Pool 15,Stormy C,8/2/2022,L,ELJ,17.5,4,1.3,11,10,
Pool 1,3D,8/9/2022,R,47L,5,3,0.23,0,0,
Pool 2,3D,8/9/2022,R,30L,5,3,0.23,0,0,
Pool 3,3D,8/9/2022,R,51R,5,3,0.27,0,0,
Pool 4,3D,8/9/2022,R,70R,5,3,0.2,0,0,
Pool 5,3D,8/9/2022,R,60L,5,3,0.65,0,0,
Pool 6,3D,8/9/2022,R,51R,5,3,0.19,0,0,
Pool 7,3D,8/9/2022,R,40R,5,3,0.29,0,0,
Pool 8,3D,8/9/2022,R,38L,5,3,0.25,0,0,
Pool 9,3D,8/9/2022,R,11L,5,3,0.38,0,0,
Pool 10,3D,8/9/2022,R,49R,5,3,0.51,0,0,
Pool 11,3D,8/9/2022,R,21R,5,3,0.5,0,0,
Pool 12,3D,8/9/2022,R,7L,5,3,0.21,0,0,
Pool 13,3D,8/9/2022,R,48L,5,3,0.34,0,0,
Pool 14,3D,8/9/2022,R,14R,5,3,0.31,0,0,
Pool 15,3D,8/9/2022,R,25R,5,3,0.15,0,0,
Pool 1,3D,8/9/2022,L,ELJ,28,2,0.85,43,0,
Pool 2,3D,8/9/2022,L,ELJ,31,3,0.83,103,0,
Pool 3a,3D,8/9/2022,L,ELJ,20,1,0.58,3,0,
Pool 3b,3D,8/9/2022,L,ELJ,3,3,0.51,10,0,
Pool 3c,3D,8/9/2022,L,ELJ,8,3,0.78,26,0,
Pool 3d,3D,8/9/2022,L,ELJ,3,3,0.39,1,0,
Pool 4,3D,8/9/2022,L,ELJ,13,4,0.51,9,0,
Pool 5,3D,8/9/2022,L,ELJ,21,4,0.67,31,0,
Pool 6,3D,8/9/2022,L,ELJ,35,3,0.79,39,0,
